id,luas_m2,harga_juta,kota,kamar,tahun_bangun,kondisi
1,297.0,1084.0,jogja,2.0,2000,baik
2,254.0,761.0,Medan,,1995,Bagus
3,249.7,895.0,Depok,,1983,baik
4,49.7,178.0,YGY,5.0,2013,baik
5,133.4,424.0,Medan,5.0,2004,Sedang
6,153.3,814.0,Jakarta,1.0,2006,Sedang
7,114.3,,jakarta,3.0,2011,baik
8,,333.0,Yogyakarta,,1989,baik sekali
9,81.2,307.0,Yogyakarta,1.0,1996,SEDANG
10,69.1,237.0,Bandung,5.0,1980,baik
11,159.6,630.0,Surabaya,6.0,2023,sedang
12,81.2,345.0,dpk,5.0,2008,baik
13,84.2,382.0,sby,2.0,2006,sedang
14,,802.0,Jakarta,3.0,2004,baik
15,,503.0,Makassar,6.0,2016,sedang
16,200.5,495.0,mdn,6.0,1994,BAIK
17,303.3,1043.0,Bandung,4.0,1993,sedang
18,51.5,183.0,Yogyakarta,6.0,2020,sedang
19,,,Bandung,1.0,2015,rusak
20,297.7,,Surabaya,1.0,2009,BAIK
21,195.0,511.0,medan,,2014,SEDANG
22,,,Semarang,2.0,1984,BAIK
23,300.9,,semarang,5.0,2000,baik
24,53.4,156.0,Medan,4.0,2002,sedang
25,97.7,349.0,Yogyakarta,5.0,1995,sedang
26,,916.0,Semarang,4.0,2013,baik sekali
27,113.8,-500.0,Bandung,6.0,1993,baik sekali
28,248.8,955.0,yogyakarta,6.0,1993,baik
29,226.3,664.0,medan,3.0,2016,BAIK
30,110.3,455.0,yogyakarta,6.0,1986,baik
31,189.4,819.0,Jogja,6.0,2012,sedang
32,67.9,195.0,Makassar,2.0,1980,rusak
33,77.4,237.0,Medan,5.0,2007,cukup
34,288.6,1598.0,JAKARTA,4.0,2016,rusak
35,294.9,934.0,Medan,4.0,2017,baik
36,278.4,863.0,Medan,1.0,2021,sedang
37,,631.0,Smg,4.0,1996,sedang
38,40.4,170.0,YGY,6.0,2005,baik
39,69.1,237.0,Bandung,5.0,1980,baik
40,244.1,665.0,Makassar,3.0,2004,baik sekali
41,125.4,735.0,Jakarta,4.0,1990,baik
42,193.2,641.0,Bandung,1.0,2004,sedang
43,223.2,0.0,Medan,6.0,1993,sedang
44,343.6,1687.0,Jakarta,3.0,2011,baik
45,280.1,1008.0,semarang,6.0,2005,sedang
46,260.6,974.0,DEPOK,5.0,2003,Baik
47,135.8,522.0,Bdg,1.0,1999,baik
48,153.3,422.0,makassar,1.0,2008,sedang
49,292.4,1323.0,surabaya,4.0,2019,rusak
50,93.0,,Bandung,3.0,2010,rusak
51,125.9,751.0,Jakarta,5.0,1985,Cukup
52,52.3,208.0,Yogyakarta,2.0,1989,sedang
53,,916.0,Jogja,1.0,2005,sedang
54,325.2,783.0,Makassar,2.0,2011,baik
55,194.4,456.0,Makassar,,2013,sedang
56,70.3,181.0,MAKASSAR,4.0,1985,sedang
57,202.7,746.0,depok,6.0,2017,baik
58,,1071.0,Jogja,4.0,1997,baik
59,,,Surabaya,2.0,2018,baik
60,297.7,1250.0,Surabaya,1.0,2009,baik
61,270.5,880.0,Bandung,5.0,2020,baik
62,,495.0,Medan,6.0,1994,baik sekali
63,169.7,532.0,Medan,1.0,1994,sedang
64,133.4,506.0,bandung,3.0,1998,rusak
65,80.1,315.0,Yogyakarta,1.0,1991,BAIK
66,111.7,457.0,Depok,5.0,1998,baik sekali
67,,655.0,Medan,4.0,2022,sedang
68,41.6,,Makassar,1.0,1981,Baik
69,118.4,,jakarta,4.0,1981,BAIK
70,329.0,912.0,medan,5.0,2002,baik
71,194.4,456.0,Makassar,1.0,2013,sedang
72,202.7,746.0,dpk,6.0,2017,baik
73,,894.0,Bandung,6.0,1890,perlu renovasi
74,296.4,1406.0,Depok,1.0,1982,cukup
75,56.9,176.0,Semarang,2.0,1999,sedang
76,282.4,1077.0,Bandung ,1.0,2001,Sedang
77,308.4,1005.0,Bandung,2.0,1987,rusak
78,43.8,139.0,medan,1.0,2017,baik
79,240.7,987.0,jogja,5.0,2001,baik
80,,1882.0,Jakarta,2.0,1986,sedang
81,326.4,1492.0,Depok,5.0,2020,sedang
82,308.5,1204.0,SURABAYA,5.0,1982,baik
83,235.1,,Mksr,1.0,2012,baik
84,218.5,696.0,Bandung,2.0,2099,sedang
85,74.9,304.0,Yogyakarta,5.0,1995,baik
86,-50.0,345.0,Depok,5.0,2008,BAIK
87,98.7,575.0,Jakarta,1.0,1988,bagus
88,237.7,1468.0, Jakarta,3.0,2016,cukup
89,224.2,691.0,Semarang,2.0,1984,bagus
90,166.7,,jogja,1.0,1997,baik
91,72.3,,jogja,3.0,2009,baik
92,210.3,818.0,Depok,2.0,2002,baik
93,,455.0,Yogyakarta,,1986,baik
94,310.8,767.0,makassar,3.0,1998,cukup
95,225.4,,Depok,,1983,bagus
96,343.6,1687.0,Jakarta,3.0,2011,baik
97,135.2,380.0,Medan,1.0,1989,sedang
98,268.0,1525.0,Jakarta,4.0,2007,sedang
99,310.6,1148.0,Bandung,,2005,sedang
100,167.6,529.0,Bandung,5.0,2015,baik
101,288.5,1023.0,semarang,1.0,1998,baik
102,221.6,99999999.0,medan,4.0,2022,sedang
103,178.5,,mdn,3.0,9999,sedang
104,9500.0,179.0,YGY,4.0,1985,Bagus
105,319.4,943.0,Semarang,4.0,1987,baik
106,270.2,677.0,Medan,3.0,2012,baik sekali
107,110.3,247.0,Mksr,4.0,1982,SEDANG
108,341.2,1357.0,sby,6.0,2010,baik
109,165.5,696.0,Surabaya,2.0,1992,baik
110,65.7,,Makassar,1.0,1993,baik
111,222.7,595.0,MAKASSAR,4.0,2016,baik
112,327.3,1146.0,surabaya,4.0,2022,Baik
113,,1091.0,Bandung,4.0,1987,rusak
114,67.1,210.0,Medan,3.0,2003,jelek
115,52.8,206.0,Yogyakarta,2.0,2002,BAIK
116,286.2,634.0,Makassar,1.0,1983,SEDANG
117,,171.0,Makassar,6.0,2001,RUSAK
118,339.4,1384.0,Surabaya,,1990,baik
119,336.1,1382.0,Surabaya,1.0,2019,jelek
120,90.8,,yogyakarta,5.0,1996,rusak
121,69.3,231.0,jogja,2.0,2002,rusak
122,81.9,349.0,DEPOK,6.0,2011,baik
123,74.3,247.0,Smg,3.0,1990,bagus
124,77.2,258.0,Yogyakarta,4.0,2003,baik
125,160.8,455.0,makassar,4.0,2002,RUSAK
126,330.2,1050.0,Semarang,6.0,1993,Baik
127,,,Makassar,5.0,2008,baik
128,84.1,202.0,Makassar,2.0,1986,Baik
129,88.0,252.0,makassar,,1986,Bagus
130,215.4,941.0,yogyakarta,1.0,2013,Cukup
